foodbank_id,foodbank_name,location,sentiment,fraud,inventory_size,received_food_qty,delivered_food_qty
FB001,Feed India,Mumbai,"Food safety protocols are consistent, but delivery could be more reliable",Yes,3583,61,55
FB001,Feed India,Mumbai,"Food is handled hygienically, delivered promptly as promised",Yes,4424,81,54
FB001,Feed India,Mumbai,"Food safety protocols are consistent, but delivery could be more reliable",Yes,1721,51,50
FB001,Feed India,Mumbai,"Food items are safe for consumption, consistently delivered on time",Yes,4469,111,60
FB001,Feed India,Mumbai,"Timely delivery, but some concerns with food safety measures",Yes,2087,113,94
FB001,Feed India,Mumbai,"Food is handled hygienically, delivered promptly as promised",Yes,2343,123,122
FB001,Feed India,Mumbai,"Food arrived late, but storage and hygiene were acceptable",Yes,2774,125,53
FB002,Hunger-Free Delhi,Delhi,"Food quality is good, but there were slight delays in delivery",No,1471,66,54
FB002,Hunger-Free Delhi,Delhi,"Food is handled hygienically, delivered promptly as promised",No,1751,143,122
FB002,Hunger-Free Delhi,Delhi,"Food safety is a priority, but delivery delays occasionally occur",No,3768,189,112
FB002,Hunger-Free Delhi,Delhi,"Food safety protocols are consistent, but delivery could be more reliable",No,4255,131,78
FB002,Hunger-Free Delhi,Delhi,"Occasional delays in food delivery, but food is stored safely",No,1389,151,84
FB002,Hunger-Free Delhi,Delhi,"Food was delivered late, but safety measures were adequate",No,3789,192,152
FB002,Hunger-Free Delhi,Delhi,"Food is handled hygienically, delivered promptly as promised",No,4883,107,77
FB002,Hunger-Free Delhi,Delhi,"Food arrived on time, but cleanliness standards need improvement",No,1228,85,58
FB002,Hunger-Free Delhi,Delhi,"Food safety protocols are consistent, but delivery could be more reliable",No,2767,159,109
FB002,Hunger-Free Delhi,Delhi,"Food quality is good, but there were slight delays in delivery",No,3134,73,53
FB002,Hunger-Free Delhi,Delhi,"Food safety standards are strictly followed, no issues reported",No,4404,136,57
FB002,Hunger-Free Delhi,Delhi,"Food was delivered late, but maintained proper hygiene throughout",No,1642,192,78
FB002,Hunger-Free Delhi,Delhi,"Food items are safe for consumption, consistently delivered on time",No,1202,154,110
FB002,Hunger-Free Delhi,Delhi,"Timely delivery, but some concerns with food safety measures",No,4555,155,120
FB002,Hunger-Free Delhi,Delhi,"Food arrived on time, but cleanliness standards need improvement",No,3762,165,150
FB002,Hunger-Free Delhi,Delhi,"Occasional delays in food delivery, but food is stored safely",No,1893,51,50
FB002,Hunger-Free Delhi,Delhi,"Food delivered late occasionally, but maintained at proper temperatures",No,4845,122,97
FB002,Hunger-Free Delhi,Delhi,"Food was delivered late, but maintained proper hygiene throughout",No,2831,67,57
FB002,Hunger-Free Delhi,Delhi,"Timely delivery, but some concerns with food safety measures",No,2684,131,120
FB002,Hunger-Free Delhi,Delhi,"Food arrived on time, but cleanliness standards need improvement",No,2866,79,50
FB002,Hunger-Free Delhi,Delhi,"Timely food delivery, well-maintained storage conditions",No,4715,147,115
FB002,Hunger-Free Delhi,Delhi,"Timely delivery, but food safety protocols were not fully followed",No,4575,89,56
FB002,Hunger-Free Delhi,Delhi,"Food safety standards are usually met, but occasional delays in delivery",No,4100,99,53
FB002,Hunger-Free Delhi,Delhi,"Occasional delays in food delivery, but food is stored safely",No,3589,55,53
FB002,Hunger-Free Delhi,Delhi,"Food delivered on time, storage conditions were acceptable",No,2005,86,78
FB002,Hunger-Free Delhi,Delhi,"Food arrived on time, but cleanliness standards need improvement",No,3392,122,85
FB002,Hunger-Free Delhi,Delhi,"Food arrived late, but storage and hygiene were acceptable",No,3045,51,50
FB002,Hunger-Free Delhi,Delhi,"Food arrived on time, hygiene practices were satisfactory",No,1579,135,64
FB002,Hunger-Free Delhi,Delhi,"Safety protocols are in place, food quality is maintained and delivered on time",No,1591,97,68
FB002,Hunger-Free Delhi,Delhi,"Food is handled hygienically, delivered promptly as promised",No,3714,133,63
FB003,Bangalore Food Relief,Bangalore,"Food safety protocols are consistent, but delivery could be more reliable",Yes,2034,184,181
FB003,Bangalore Food Relief,Bangalore,"Food safety protocols are consistent, but delivery could be more reliable",Yes,1942,115,83
FB003,Bangalore Food Relief,Bangalore,"Food arrived on time, hygiene practices were satisfactory",Yes,4405,60,56
FB003,Bangalore Food Relief,Bangalore,"Safety protocols are in place, food quality is maintained and delivered on time",Yes,2897,183,91
FB003,Bangalore Food Relief,Bangalore,"Food arrived late, but storage and hygiene were acceptable",Yes,3869,97,77
FB003,Bangalore Food Relief,Bangalore,"Food is handled hygienically, delivered promptly as promised",Yes,3706,185,112
FB003,Bangalore Food Relief,Bangalore,"Food safety standards are strictly followed, no issues reported",Yes,1416,58,54
FB003,Bangalore Food Relief,Bangalore,"Food arrived on time, but cleanliness standards need improvement",Yes,1399,104,69
FB003,Bangalore Food Relief,Bangalore,"Food safety is a priority, but delivery delays occasionally occur",Yes,3638,146,58
FB003,Bangalore Food Relief,Bangalore,"Food delivered on time, storage conditions were acceptable",Yes,3032,62,56
FB003,Bangalore Food Relief,Bangalore,"Timely delivery, but some concerns with food safety measures",Yes,3272,61,60
FB003,Bangalore Food Relief,Bangalore,"Occasional delays in food delivery, but food is stored safely",Yes,1302,88,79
FB003,Bangalore Food Relief,Bangalore,"Food arrived on time, though there were minor concerns with food safety",Yes,2935,109,74
FB003,Bangalore Food Relief,Bangalore,"Food items are safe for consumption, consistently delivered on time",Yes,3565,95,62
FB003,Bangalore Food Relief,Bangalore,"Food was delivered late, but safety measures were adequate",Yes,4846,152,72
FB003,Bangalore Food Relief,Bangalore,"Food arrived on time, though there were minor concerns with food safety",Yes,1493,192,159
FB003,Bangalore Food Relief,Bangalore,"Food arrived late, but storage and hygiene were acceptable",Yes,2824,181,132
FB003,Bangalore Food Relief,Bangalore,"Food items are safe for consumption, consistently delivered on time",Yes,4416,54,51
FB003,Bangalore Food Relief,Bangalore,"Food quality and safety are good, but delays in delivery need attention",Yes,1378,118,89
FB003,Bangalore Food Relief,Bangalore,"Food safety standards are usually met, but occasional delays in delivery",Yes,1003,99,99
FB003,Bangalore Food Relief,Bangalore,"Food items are safe for consumption, consistently delivered on time",Yes,1609,192,103
FB003,Bangalore Food Relief,Bangalore,"Food delivered on time, storage conditions were acceptable",Yes,2364,74,66
FB003,Bangalore Food Relief,Bangalore,"Food storage meets health and safety standards, no delays in delivery",Yes,1712,79,57
FB003,Bangalore Food Relief,Bangalore,"Food storage meets health and safety standards, no delays in delivery",Yes,2310,104,96
FB003,Bangalore Food Relief,Bangalore,"Timely delivery, but some concerns with food safety measures",Yes,3939,199,82
FB003,Bangalore Food Relief,Bangalore,"Food safety could be improved, but delivery is on time",Yes,1330,183,150
FB003,Bangalore Food Relief,Bangalore,"Safety protocols are in place, food quality is maintained and delivered on time",Yes,1670,197,122
FB003,Bangalore Food Relief,Bangalore,"Food was delivered late, but safety measures were adequate",Yes,1921,192,139
FB003,Bangalore Food Relief,Bangalore,"Timely food delivery, well-maintained storage conditions",Yes,1753,128,91
FB003,Bangalore Food Relief,Bangalore,"Food arrived on time, but cleanliness standards need improvement",Yes,1602,193,79
FB004,Chennai Meals,Chennai,"Food storage meets health and safety standards, no delays in delivery",No,4305,148,102
FB004,Chennai Meals,Chennai,"Food safety standards are strictly followed, no issues reported",No,3636,154,83
FB004,Chennai Meals,Chennai,"Food was delivered late, but safety measures were adequate",No,3101,51,51
FB004,Chennai Meals,Chennai,"Food storage meets health and safety standards, no delays in delivery",No,4835,183,172
FB004,Chennai Meals,Chennai,"Food arrived late, but storage and hygiene were acceptable",No,1901,88,88
FB004,Chennai Meals,Chennai,"Food delivered on time, storage conditions were acceptable",No,2630,89,58
FB004,Chennai Meals,Chennai,"Food arrived on time, but cleanliness standards need improvement",No,2045,130,93
FB004,Chennai Meals,Chennai,"Food quality is good, but there were slight delays in delivery",No,1541,77,58
FB004,Chennai Meals,Chennai,"Food safety protocols are consistent, but delivery could be more reliable",No,4287,90,55
FB004,Chennai Meals,Chennai,"Food quality is good, but there were slight delays in delivery",No,2224,199,73
FB004,Chennai Meals,Chennai,"Food safety standards are usually met, but occasional delays in delivery",No,1794,187,136
FB004,Chennai Meals,Chennai,"Food safety could be improved, but delivery is on time",No,1101,172,140
FB004,Chennai Meals,Chennai,"Timely delivery, but food safety protocols were not fully followed",No,3776,81,57
FB004,Chennai Meals,Chennai,"Food arrived on time, hygiene practices were satisfactory",No,1069,194,165
FB004,Chennai Meals,Chennai,"Timely delivery, but food safety protocols were not fully followed",No,3639,90,65
FB004,Chennai Meals,Chennai,"Food safety standards are usually met, but occasional delays in delivery",No,2026,110,70
FB004,Chennai Meals,Chennai,"Food safety standards are usually met, but occasional delays in delivery",No,2852,50,50
FB004,Chennai Meals,Chennai,"Food arrived on time, but cleanliness standards need improvement",No,1329,160,83
FB004,Chennai Meals,Chennai,"Timely food delivery, well-maintained storage conditions",No,4246,120,109
FB004,Chennai Meals,Chennai,"Occasional delays in food delivery, but food is stored safely",No,3099,180,75
FB004,Chennai Meals,Chennai,"Food safety is a priority, but delivery delays occasionally occur",No,1691,67,55
FB004,Chennai Meals,Chennai,"Food safety standards are usually met, but occasional delays in delivery",No,4219,196,168
FB004,Chennai Meals,Chennai,"Safety protocols are in place, food quality is maintained and delivered on time",No,1240,50,50
FB004,Chennai Meals,Chennai,"Food quality and safety are good, but delays in delivery need attention",No,3737,53,51
FB004,Chennai Meals,Chennai,"Food delivered late occasionally, but maintained at proper temperatures",No,4551,58,50
FB004,Chennai Meals,Chennai,"Safety protocols are in place, food quality is maintained and delivered on time",No,2610,144,60
FB004,Chennai Meals,Chennai,"Food arrived on time, though there were minor concerns with food safety",No,4813,73,57
FB004,Chennai Meals,Chennai,"Food delivered on time, storage conditions were acceptable",No,3526,124,91
FB004,Chennai Meals,Chennai,"Food quality and safety are good, but delays in delivery need attention",No,2352,168,151
FB004,Chennai Meals,Chennai,"Timely food delivery, well-maintained storage conditions",No,2555,53,50
FB005,Kolkata Food Aid,Kolkata,"Occasional delays in food delivery, but food is stored safely",No,3946,98,74
FB005,Kolkata Food Aid,Kolkata,"Food delivered late occasionally, but maintained at proper temperatures",No,4532,112,100
FB005,Kolkata Food Aid,Kolkata,"Food safety protocols are consistent, but delivery could be more reliable",No,4439,162,117
FB005,Kolkata Food Aid,Kolkata,"Timely delivery, but food safety protocols were not fully followed",No,1204,96,69
FB005,Kolkata Food Aid,Kolkata,"Food storage meets health and safety standards, no delays in delivery",No,2396,93,53
FB005,Kolkata Food Aid,Kolkata,"Food items are safe for consumption, consistently delivered on time",No,1127,179,74
FB005,Kolkata Food Aid,Kolkata,"Safety protocols are in place, food quality is maintained and delivered on time",No,2865,133,64
FB005,Kolkata Food Aid,Kolkata,"Timely delivery, but some concerns with food safety measures",No,2918,119,54
FB005,Kolkata Food Aid,Kolkata,"Food safety standards are usually met, but occasional delays in delivery",No,4008,173,149
FB005,Kolkata Food Aid,Kolkata,"Food safety standards are usually met, but occasional delays in delivery",No,2043,157,120
FB005,Kolkata Food Aid,Kolkata,"Food is handled hygienically, delivered promptly as promised",No,2828,129,107
FB005,Kolkata Food Aid,Kolkata,"Food arrived on time, though there were minor concerns with food safety",No,2117,152,85
FB005,Kolkata Food Aid,Kolkata,"Food items are safe for consumption, consistently delivered on time",No,1227,166,87
FB005,Kolkata Food Aid,Kolkata,"Food quality is good, but there were slight delays in delivery",No,3780,176,118
FB005,Kolkata Food Aid,Kolkata,"Food safety protocols are consistent, but delivery could be more reliable",No,2271,182,96
FB005,Kolkata Food Aid,Kolkata,"Occasional delays in food delivery, but food is stored safely",No,2623,192,112
FB005,Kolkata Food Aid,Kolkata,"Food safety is a priority, but delivery delays occasionally occur",No,1417,153,71
FB005,Kolkata Food Aid,Kolkata,"Food safety standards are usually met, but occasional delays in delivery",No,1376,89,82
FB005,Kolkata Food Aid,Kolkata,"Food safety is a priority, but delivery delays occasionally occur",No,2723,192,55
FB005,Kolkata Food Aid,Kolkata,"Food safety protocols are consistent, but delivery could be more reliable",No,3807,70,61
FB005,Kolkata Food Aid,Kolkata,"Food arrived late, but storage and hygiene were acceptable",No,4109,148,148
FB005,Kolkata Food Aid,Kolkata,"Occasional delays in food delivery, but food is stored safely",No,2162,189,134
FB005,Kolkata Food Aid,Kolkata,"Food was delivered late, but safety measures were adequate",No,2373,86,50
FB005,Kolkata Food Aid,Kolkata,"Food delivered late occasionally, but maintained at proper temperatures",No,4022,66,54
FB005,Kolkata Food Aid,Kolkata,"Food safety standards are strictly followed, no issues reported",No,1019,81,75
FB005,Kolkata Food Aid,Kolkata,"Timely food delivery, well-maintained storage conditions",No,3168,161,160
FB005,Kolkata Food Aid,Kolkata,"Food safety standards are usually met, but occasional delays in delivery",No,1131,120,118
FB005,Kolkata Food Aid,Kolkata,"Food was delivered late, but safety measures were adequate",No,3309,103,63
FB005,Kolkata Food Aid,Kolkata,"Timely delivery, but some concerns with food safety measures",No,1974,132,118
FB005,Kolkata Food Aid,Kolkata,"Food quality and safety are good, but delays in delivery need attention",No,4346,127,74
FB006,Hyderabad Hunger Solutions,Hyderabad,"Timely delivery, but food safety protocols were not fully followed",No,4873,85,76
FB006,Hyderabad Hunger Solutions,Hyderabad,"Safety protocols are in place, food quality is maintained and delivered on time",No,1258,173,72
FB006,Hyderabad Hunger Solutions,Hyderabad,"Timely delivery, but food safety protocols were not fully followed",No,1423,126,119
FB006,Hyderabad Hunger Solutions,Hyderabad,"Food arrived on time, hygiene practices were satisfactory",No,2615,162,78
FB006,Hyderabad Hunger Solutions,Hyderabad,"Food quality is good, but there were slight delays in delivery",No,1341,61,60
FB006,Hyderabad Hunger Solutions,Hyderabad,"Food safety standards are strictly followed, no issues reported",No,3727,84,54
FB006,Hyderabad Hunger Solutions,Hyderabad,"Food quality and safety are good, but delays in delivery need attention",No,2881,135,105
FB006,Hyderabad Hunger Solutions,Hyderabad,"Food is handled hygienically, delivered promptly as promised",No,4234,136,119
FB006,Hyderabad Hunger Solutions,Hyderabad,"Food is handled hygienically, delivered promptly as promised",No,3785,197,140
FB006,Hyderabad Hunger Solutions,Hyderabad,"Timely delivery, but some concerns with food safety measures",No,3481,87,52
FB006,Hyderabad Hunger Solutions,Hyderabad,"Food arrived late, but storage and hygiene were acceptable",No,4246,113,68
FB006,Hyderabad Hunger Solutions,Hyderabad,"Food delivered late occasionally, but maintained at proper temperatures",No,3861,80,77
FB006,Hyderabad Hunger Solutions,Hyderabad,"Food items are safe for consumption, consistently delivered on time",No,4620,189,111
FB006,Hyderabad Hunger Solutions,Hyderabad,"Food is handled hygienically, delivered promptly as promised",No,3966,122,67
FB006,Hyderabad Hunger Solutions,Hyderabad,"Food safety standards are usually met, but occasional delays in delivery",No,3564,102,75
FB006,Hyderabad Hunger Solutions,Hyderabad,"Food was delivered late, but maintained proper hygiene throughout",No,3998,82,78
FB006,Hyderabad Hunger Solutions,Hyderabad,"Food delivered late occasionally, but maintained at proper temperatures",No,4856,74,55
FB006,Hyderabad Hunger Solutions,Hyderabad,"Food safety standards are strictly followed, no issues reported",No,4532,84,53
FB006,Hyderabad Hunger Solutions,Hyderabad,"Food arrived on time, hygiene practices were satisfactory",No,4011,144,122
FB006,Hyderabad Hunger Solutions,Hyderabad,"Food items are safe for consumption, consistently delivered on time",No,3792,91,71
FB006,Hyderabad Hunger Solutions,Hyderabad,"Food safety standards are usually met, but occasional delays in delivery",No,3983,115,109
FB006,Hyderabad Hunger Solutions,Hyderabad,"Food safety is a priority, but delivery delays occasionally occur",No,3566,117,63
FB006,Hyderabad Hunger Solutions,Hyderabad,"Food arrived late, but storage and hygiene were acceptable",No,3329,178,133
FB006,Hyderabad Hunger Solutions,Hyderabad,"Food delivered on time, storage conditions were acceptable",No,3980,93,81
FB006,Hyderabad Hunger Solutions,Hyderabad,"Food is handled hygienically, delivered promptly as promised",No,2975,149,147
FB006,Hyderabad Hunger Solutions,Hyderabad,"Food was delivered late, but safety measures were adequate",No,3599,164,99
FB006,Hyderabad Hunger Solutions,Hyderabad,"Timely food delivery, well-maintained storage conditions",No,3509,135,99
FB006,Hyderabad Hunger Solutions,Hyderabad,"Food safety could be improved, but delivery is on time",No,1147,155,117
FB006,Hyderabad Hunger Solutions,Hyderabad,"Timely delivery, but some concerns with food safety measures",No,2882,72,72
FB006,Hyderabad Hunger Solutions,Hyderabad,"Timely delivery, but some concerns with food safety measures",No,1572,128,89
FB007,Pune Pantry,Pune,"Food is handled hygienically, delivered promptly as promised",Yes,3994,182,165
FB007,Pune Pantry,Pune,"Food quality and safety are good, but delays in delivery need attention",Yes,4430,80,79
FB007,Pune Pantry,Pune,"Food was delivered late, but maintained proper hygiene throughout",Yes,2274,53,53
FB007,Pune Pantry,Pune,"Safety protocols are in place, food quality is maintained and delivered on time",Yes,4252,106,102
FB007,Pune Pantry,Pune,"Food arrived on time, hygiene practices were satisfactory",Yes,4467,160,140
FB007,Pune Pantry,Pune,"Food delivered late occasionally, but maintained at proper temperatures",Yes,1040,173,138
FB007,Pune Pantry,Pune,"Food was delivered late, but maintained proper hygiene throughout",Yes,2899,86,63
FB007,Pune Pantry,Pune,"Timely delivery, but some concerns with food safety measures",Yes,1153,189,131
FB007,Pune Pantry,Pune,"Occasional delays in food delivery, but food is stored safely",Yes,4196,57,53
FB007,Pune Pantry,Pune,"Occasional delays in food delivery, but food is stored safely",Yes,3213,104,103
FB007,Pune Pantry,Pune,"Food storage meets health and safety standards, no delays in delivery",Yes,4752,180,121
FB007,Pune Pantry,Pune,"Safety protocols are in place, food quality is maintained and delivered on time",Yes,2009,117,96
FB007,Pune Pantry,Pune,"Food safety standards are usually met, but occasional delays in delivery",Yes,3978,86,67
FB007,Pune Pantry,Pune,"Food items are safe for consumption, consistently delivered on time",Yes,2114,160,149
FB007,Pune Pantry,Pune,"Food safety could be improved, but delivery is on time",Yes,3510,171,84
FB007,Pune Pantry,Pune,"Food was delivered late, but safety measures were adequate",Yes,2009,92,72
FB007,Pune Pantry,Pune,"Food storage meets health and safety standards, no delays in delivery",Yes,2874,190,51
FB007,Pune Pantry,Pune,"Food was delivered late, but safety measures were adequate",Yes,4633,180,171
FB007,Pune Pantry,Pune,"Food was delivered late, but safety measures were adequate",Yes,4873,174,124
FB007,Pune Pantry,Pune,"Food safety protocols are consistent, but delivery could be more reliable",Yes,2032,120,87
FB007,Pune Pantry,Pune,"Timely delivery, but some concerns with food safety measures",Yes,4937,193,176
FB007,Pune Pantry,Pune,"Food safety protocols are consistent, but delivery could be more reliable",Yes,2831,69,56
FB007,Pune Pantry,Pune,"Food safety could be improved, but delivery is on time",Yes,4972,59,57
FB007,Pune Pantry,Pune,"Food arrived late, but storage and hygiene were acceptable",Yes,3741,170,83
FB007,Pune Pantry,Pune,"Food safety is a priority, but delivery delays occasionally occur",Yes,3929,148,107
FB007,Pune Pantry,Pune,"Timely food delivery, well-maintained storage conditions",Yes,1970,174,157
FB007,Pune Pantry,Pune,"Food was delivered late, but safety measures were adequate",Yes,3603,61,51
FB007,Pune Pantry,Pune,"Food delivered on time, storage conditions were acceptable",Yes,1147,134,73
FB007,Pune Pantry,Pune,"Food arrived on time, but cleanliness standards need improvement",Yes,3773,71,63
FB007,Pune Pantry,Pune,"Food delivered late occasionally, but maintained at proper temperatures",Yes,1885,165,151
FB008,Ahmedabad Aid,Ahmedabad,"Food arrived on time, hygiene practices were satisfactory",No,3116,90,70
FB008,Ahmedabad Aid,Ahmedabad,"Food arrived on time, but cleanliness standards need improvement",No,3684,101,77
FB008,Ahmedabad Aid,Ahmedabad,"Food safety could be improved, but delivery is on time",No,1381,111,99
FB008,Ahmedabad Aid,Ahmedabad,"Food arrived on time, though there were minor concerns with food safety",No,2893,173,61
FB008,Ahmedabad Aid,Ahmedabad,"Food delivered on time, storage conditions were acceptable",No,2457,146,122
FB008,Ahmedabad Aid,Ahmedabad,"Food delivered on time, storage conditions were acceptable",No,3967,142,131
FB008,Ahmedabad Aid,Ahmedabad,"Food delivered on time, storage conditions were acceptable",No,4400,156,147
FB008,Ahmedabad Aid,Ahmedabad,"Timely food delivery, well-maintained storage conditions",No,1293,64,52
FB008,Ahmedabad Aid,Ahmedabad,"Occasional delays in food delivery, but food is stored safely",No,3266,114,65
FB008,Ahmedabad Aid,Ahmedabad,"Food safety is a priority, but delivery delays occasionally occur",No,3776,52,51
FB008,Ahmedabad Aid,Ahmedabad,"Food safety is a priority, but delivery delays occasionally occur",No,3109,103,89
FB008,Ahmedabad Aid,Ahmedabad,"Food was delivered late, but safety measures were adequate",No,2851,162,51
FB008,Ahmedabad Aid,Ahmedabad,"Food arrived on time, hygiene practices were satisfactory",No,1345,68,54
FB008,Ahmedabad Aid,Ahmedabad,"Food quality is good, but there were slight delays in delivery",No,4217,104,52
FB008,Ahmedabad Aid,Ahmedabad,"Food safety standards are strictly followed, no issues reported",No,1680,172,120
FB008,Ahmedabad Aid,Ahmedabad,"Food arrived on time, hygiene practices were satisfactory",No,3217,79,59
FB008,Ahmedabad Aid,Ahmedabad,"Timely delivery, but food safety protocols were not fully followed",No,1783,77,54
FB008,Ahmedabad Aid,Ahmedabad,"Food was delivered late, but maintained proper hygiene throughout",No,2763,140,117
FB008,Ahmedabad Aid,Ahmedabad,"Food delivered on time, storage conditions were acceptable",No,3483,61,54
FB008,Ahmedabad Aid,Ahmedabad,"Food safety protocols are consistent, but delivery could be more reliable",No,2319,137,101
FB008,Ahmedabad Aid,Ahmedabad,"Food safety could be improved, but delivery is on time",No,2852,168,66
FB008,Ahmedabad Aid,Ahmedabad,"Timely delivery, but some concerns with food safety measures",No,2303,122,109
FB008,Ahmedabad Aid,Ahmedabad,"Food is handled hygienically, delivered promptly as promised",No,4430,97,93
FB008,Ahmedabad Aid,Ahmedabad,"Food items are safe for consumption, consistently delivered on time",No,2336,68,63
FB008,Ahmedabad Aid,Ahmedabad,"Food safety protocols are consistent, but delivery could be more reliable",No,2731,195,116
FB008,Ahmedabad Aid,Ahmedabad,"Food safety protocols are consistent, but delivery could be more reliable",No,2226,197,88
FB008,Ahmedabad Aid,Ahmedabad,"Food arrived on time, but cleanliness standards need improvement",No,2978,99,56
FB008,Ahmedabad Aid,Ahmedabad,"Food safety protocols are consistent, but delivery could be more reliable",No,1949,69,65
FB008,Ahmedabad Aid,Ahmedabad,"Timely delivery, but some concerns with food safety measures",No,1327,97,66
FB008,Ahmedabad Aid,Ahmedabad,"Food safety standards are usually met, but occasional delays in delivery",No,4555,108,100
FB009,Jaipur Food Center,Jaipur,"Food safety is a priority, but delivery delays occasionally occur",No,3691,74,65
FB009,Jaipur Food Center,Jaipur,"Timely food delivery, well-maintained storage conditions",No,2873,109,62
FB009,Jaipur Food Center,Jaipur,"Food delivered on time, storage conditions were acceptable",No,3957,127,127
FB009,Jaipur Food Center,Jaipur,"Food safety is a priority, but delivery delays occasionally occur",No,3187,104,83
FB009,Jaipur Food Center,Jaipur,"Food delivered late occasionally, but maintained at proper temperatures",No,3530,112,52
FB009,Jaipur Food Center,Jaipur,"Food storage meets health and safety standards, no delays in delivery",No,1579,98,93
FB009,Jaipur Food Center,Jaipur,"Food storage meets health and safety standards, no delays in delivery",No,3893,181,148
FB009,Jaipur Food Center,Jaipur,"Timely delivery, but some concerns with food safety measures",No,1545,192,179
FB009,Jaipur Food Center,Jaipur,"Food is handled hygienically, delivered promptly as promised",No,4741,96,84
FB009,Jaipur Food Center,Jaipur,"Food arrived late, but storage and hygiene were acceptable",No,4081,139,57
FB009,Jaipur Food Center,Jaipur,"Food delivered late occasionally, but maintained at proper temperatures",No,3885,129,88
FB009,Jaipur Food Center,Jaipur,"Food safety could be improved, but delivery is on time",No,4009,138,132
FB009,Jaipur Food Center,Jaipur,"Food storage meets health and safety standards, no delays in delivery",No,2107,66,50
FB009,Jaipur Food Center,Jaipur,"Food safety standards are usually met, but occasional delays in delivery",No,4160,188,58
FB009,Jaipur Food Center,Jaipur,"Food delivered on time, storage conditions were acceptable",No,3013,99,95
FB009,Jaipur Food Center,Jaipur,"Food safety standards are usually met, but occasional delays in delivery",No,3221,172,107
FB009,Jaipur Food Center,Jaipur,"Food was delivered late, but maintained proper hygiene throughout",No,3414,144,109
FB009,Jaipur Food Center,Jaipur,"Occasional delays in food delivery, but food is stored safely",No,1929,84,54
FB009,Jaipur Food Center,Jaipur,"Food quality is good, but there were slight delays in delivery",No,2010,111,105
FB009,Jaipur Food Center,Jaipur,"Food is handled hygienically, delivered promptly as promised",No,3089,143,108
FB009,Jaipur Food Center,Jaipur,"Food delivered on time, storage conditions were acceptable",No,3157,172,101
FB009,Jaipur Food Center,Jaipur,"Food safety protocols are consistent, but delivery could be more reliable",No,2864,86,73
FB009,Jaipur Food Center,Jaipur,"Food was delivered late, but safety measures were adequate",No,2275,63,61
FB009,Jaipur Food Center,Jaipur,"Food safety standards are strictly followed, no issues reported",No,3867,96,81
FB009,Jaipur Food Center,Jaipur,"Food was delivered late, but maintained proper hygiene throughout",No,1277,129,105
FB009,Jaipur Food Center,Jaipur,"Safety protocols are in place, food quality is maintained and delivered on time",No,4049,175,52
FB009,Jaipur Food Center,Jaipur,"Food delivered on time, storage conditions were acceptable",No,3385,121,56
FB009,Jaipur Food Center,Jaipur,"Food arrived on time, though there were minor concerns with food safety",No,2700,70,59
FB009,Jaipur Food Center,Jaipur,"Food arrived late, but storage and hygiene were acceptable",No,4382,131,96
FB009,Jaipur Food Center,Jaipur,"Food quality and safety are good, but delays in delivery need attention",No,2565,171,117
FB010,Surat Food Foundation,Surat,"Food arrived late, but storage and hygiene were acceptable",No,3345,62,57
